Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Uruguay,UY
2023-01-06,The Three Wise Men Day,['Common local holiday'],Uruguay,UY
2023-02-20,Carnival / Shrove Monday,['Common local holiday'],Uruguay,UY
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['Common local holiday'],Uruguay,UY
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Uruguay,UY
2023-04-06,Maundy Thursday,['Common local holiday'],Uruguay,UY
2023-04-07,Good Friday,['Common local holiday'],Uruguay,UY
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Uruguay,UY
2023-04-17,Landing of the 33 orientals observed,['Common local holiday'],Uruguay,UY
2023-04-19,Landing of the 33 orientals,['Common local holiday'],Uruguay,UY
2023-05-01,Labor Day / May Day,['National holiday'],Uruguay,UY
2023-05-18,Battle of Las Piedras,['Common local holiday'],Uruguay,UY
2023-05-18,Battle of Las Piedras,['Common local holiday'],Uruguay,UY
2023-05-22,Battle of Las Piedras observed,['Common local holiday'],Uruguay,UY
2023-06-19,José Artigas' Birthday Memorial,['Common local holiday'],Uruguay,UY
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Uruguay,UY
2023-07-18,Constitution Day,['National holiday'],Uruguay,UY
2023-08-25,Independence Day,['National holiday'],Uruguay,UY
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Uruguay,UY
2023-10-12,Day of cultural diversity,['Common local holiday'],Uruguay,UY
2023-10-12,Day of cultural diversity,['Common local holiday'],Uruguay,UY
2023-10-16,Day of cultural diversity observed,['Common local holiday'],Uruguay,UY
2023-11-02,All Souls' Day,['Common local holiday'],Uruguay,UY
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Uruguay,UY
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Uruguay,UY
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Uruguay,UY
2023-12-31,New Year's Eve,['Observance'],Uruguay,UY
