Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Uzbekistan,UZ
2023-01-02,New Year Holiday,['National holiday'],Uzbekistan,UZ
2023-01-03,New Year Holiday,['National holiday'],Uzbekistan,UZ
2023-01-07,Working Day,['Weekend'],Uzbekistan,UZ
2023-01-14,Defenders of the Motherland Day,['Observance'],Uzbekistan,UZ
2023-03-08,International Women's Day,['National holiday'],Uzbekistan,UZ
2023-03-11,Working Day,['Weekend'],Uzbekistan,UZ
2023-03-20,Nowruz Holiday,['National holiday'],Uzbekistan,UZ
2023-03-21T02:24:20+05:00,March Equinox,['Season'],Uzbekistan,UZ
2023-03-21,Nowruz,['National holiday'],Uzbekistan,UZ
2023-03-22,Nowruz Holiday,['National holiday'],Uzbekistan,UZ
2023-03-23,Ramadan Start,['Observance'],Uzbekistan,UZ
2023-03-25,Working Day,['Weekend'],Uzbekistan,UZ
2023-04-21,Eid al-Fitr,['National holiday'],Uzbekistan,UZ
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Uzbekistan,UZ
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Uzbekistan,UZ
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Uzbekistan,UZ
2023-04-29,Working Day,['Weekend'],Uzbekistan,UZ
2023-05-09,Remembrance Day,['National holiday'],Uzbekistan,UZ
2023-06-21T19:57:49+05:00,June Solstice,['Season'],Uzbekistan,UZ
2023-06-28,Eid al-Adha,['National holiday'],Uzbekistan,UZ
2023-06-29,Eid al-Adha Holiday,['National holiday'],Uzbekistan,UZ
2023-06-30,Eid al-Adha Holiday,['National holiday'],Uzbekistan,UZ
2023-09-01,Independence Day,['National holiday'],Uzbekistan,UZ
2023-09-23T11:50:01+05:00,September Equinox,['Season'],Uzbekistan,UZ
2023-10-01,Teachers Day,['National holiday'],Uzbekistan,UZ
2023-10-02,Teachers Day Holiday,['National holiday'],Uzbekistan,UZ
2023-12-08,Constitution Day,['National holiday'],Uzbekistan,UZ
2023-12-22T08:27:21+05:00,December Solstice,['Season'],Uzbekistan,UZ
