Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Vanuatu,VU
2023-01-02,Day off for New Year's Day,['National holiday'],Vanuatu,VU
2023-02-21,Father Lini Day,['National holiday'],Vanuatu,VU
2023-03-05,Custom Chief's Day,['National holiday'],Vanuatu,VU
2023-03-06,Day off for Custom Chief's Day,['National holiday'],Vanuatu,VU
2023-03-21T08:24:20+11:00,March Equinox,['Season'],Vanuatu,VU
2023-04-07,Good Friday,['National holiday'],Vanuatu,VU
2023-04-10,Easter Monday,['National holiday'],Vanuatu,VU
2023-05-01,Labor Day / May Day,['National holiday'],Vanuatu,VU
2023-05-18,Ascension Day,['National holiday'],Vanuatu,VU
2023-06-22T01:57:49+11:00,June Solstice,['Season'],Vanuatu,VU
2023-07-24,Children's Day,['National holiday'],Vanuatu,VU
2023-07-30,Independence Day,['National holiday'],Vanuatu,VU
2023-07-31,Day off for Independence Day,['National holiday'],Vanuatu,VU
2023-08-15,Assumption of Mary,['National holiday'],Vanuatu,VU
2023-09-23T17:50:01+11:00,September Equinox,['Season'],Vanuatu,VU
2023-10-05,Constitution Day,['National holiday'],Vanuatu,VU
2023-11-29,Unity Day,['National holiday'],Vanuatu,VU
2023-12-22T14:27:21+11:00,December Solstice,['Season'],Vanuatu,VU
2023-12-25,Christmas Day,['National holiday'],Vanuatu,VU
2023-12-26,Family Day,['National holiday'],Vanuatu,VU
