Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Vatican City (Holy See),VA
2023-01-06,Epiphany,['National holiday'],Vatican City (Holy See),VA
2023-02-11,Anniversary of the foundation of Vatican City,['National holiday'],Vatican City (Holy See),VA
2023-03-13,Anniversary of the election of Pope Francis,['National holiday'],Vatican City (Holy See),VA
2023-03-19,Father's Day,['Observance'],Vatican City (Holy See),VA
2023-03-19,St Joseph's Day,['National holiday'],Vatican City (Holy See),VA
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Vatican City (Holy See),VA
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Vatican City (Holy See),VA
2023-04-07,Good Friday,['Observance'],Vatican City (Holy See),VA
2023-04-08,Holy Saturday,['Observance'],Vatican City (Holy See),VA
2023-04-09,Easter Sunday,['National holiday'],Vatican City (Holy See),VA
2023-04-10,Easter Monday,['National holiday'],Vatican City (Holy See),VA
2023-04-23,St George's Feast,['National holiday'],Vatican City (Holy See),VA
2023-05-01,Feast of St Joseph the Worker,['National holiday'],Vatican City (Holy See),VA
2023-05-07,Mother's Day,['Observance'],Vatican City (Holy See),VA
2023-05-18,Ascension Day,['National holiday'],Vatican City (Holy See),VA
2023-06-08,Corpus Domini,['National holiday'],Vatican City (Holy See),VA
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Vatican City (Holy See),VA
2023-06-29,The Feasts of Saints Peter and Paul,['National holiday'],Vatican City (Holy See),VA
2023-08-15,Day of the Assumption of Mary,['National holiday'],Vatican City (Holy See),VA
2023-08-16,Assumption Day Holiday,['National holiday'],Vatican City (Holy See),VA
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Vatican City (Holy See),VA
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Vatican City (Holy See),VA
2023-11-01,All Saints' Day,['National holiday'],Vatican City (Holy See),VA
2023-11-02,All Souls' Day,['National holiday'],Vatican City (Holy See),VA
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Vatican City (Holy See),VA
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Vatican City (Holy See),VA
2023-12-24,Christmas Eve,['Observance'],Vatican City (Holy See),VA
2023-12-25,Christmas Day,['National holiday'],Vatican City (Holy See),VA
2023-12-26,St Stephen's Day,['National holiday'],Vatican City (Holy See),VA
2023-12-31,New Year's Eve,['Observance'],Vatican City (Holy See),VA
