Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Venezuela,VE
2023-01-06,The Three Wise Men Day,['Observance'],Venezuela,VE
2023-01-06,The Three Wise Men Day,['Common local holiday'],Venezuela,VE
2023-01-09,Three Kings Day Holiday,['Common local holiday'],Venezuela,VE
2023-01-14,Divina Pastora Day,['Observance'],Venezuela,VE
2023-02-20,Carnival / Shrove Monday,['National holiday'],Venezuela,VE
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['National holiday'],Venezuela,VE
2023-03-19,Saint Joseph's Day,['Observance'],Venezuela,VE
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Venezuela,VE
2023-04-02,Palm Sunday,"['Observance', 'Christian']",Venezuela,VE
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Venezuela,VE
2023-04-07,Good Friday,"['National holiday', 'Christian']",Venezuela,VE
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Venezuela,VE
2023-04-19,Declaration of Independence,['National holiday'],Venezuela,VE
2023-05-01,Labor Day / May Day,['National holiday'],Venezuela,VE
2023-05-18,Ascension Day,['Observance'],Venezuela,VE
2023-05-22,Ascension Day Holiday,['Common local holiday'],Venezuela,VE
2023-06-08,Corpus Christi,['Observance'],Venezuela,VE
2023-06-12,Corpus Christi Holiday,['Common local holiday'],Venezuela,VE
2023-06-13,St Anthony's Day,['Observance'],Venezuela,VE
2023-06-19,St Anthony's Day Holiday,['National holiday'],Venezuela,VE
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Venezuela,VE
2023-06-24,Carabobo Battle,['National holiday'],Venezuela,VE
2023-06-29,Saint Peter and Saint Paul,['Observance'],Venezuela,VE
2023-07-03,Saint Peter and Saint Paul Holiday,['Common local holiday'],Venezuela,VE
2023-07-05,Independence Day,['National holiday'],Venezuela,VE
2023-07-24,Simón Bolívar's Birthday,['National holiday'],Venezuela,VE
2023-08-03,Flag's Day,['Observance'],Venezuela,VE
2023-08-04,National Guard's Day,['Observance'],Venezuela,VE
2023-08-14,Assumption of Mary Holiday,['Common local holiday'],Venezuela,VE
2023-08-15,Assumption of Mary,['Observance'],Venezuela,VE
2023-09-11,Our Lady of Coromoto,['Common local holiday'],Venezuela,VE
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Venezuela,VE
2023-10-12,Day of Indigenous Resistance,['National holiday'],Venezuela,VE
2023-10-26,Dr. José Gregorio Hernández Day,['Observance'],Venezuela,VE
2023-10-30,Holiday for Dr. José Gregorio Hernández Day,['Common local holiday'],Venezuela,VE
2023-11-01,All Saints Day,['Observance'],Venezuela,VE
2023-11-02,All Souls Day,['Observance'],Venezuela,VE
2023-11-06,All Saints Day Holiday,['Common local holiday'],Venezuela,VE
2023-11-18,Day of the Virgin of the Rosary of Chiquinquirá,['Observance'],Venezuela,VE
2023-11-27,Aviation Day,['Observance'],Venezuela,VE
2023-12-08,Feast of the Immaculate Conception,['Observance'],Venezuela,VE
2023-12-11,Holiday for Feast of the Immaculate Conception,['Common local holiday'],Venezuela,VE
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Venezuela,VE
2023-12-24,Christmas Eve,"['National holiday', 'Christian']",Venezuela,VE
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Venezuela,VE
2023-12-31,New Year's Eve,['National holiday'],Venezuela,VE
