Date,Name,Type,Country Name,Country Code
2023-01-01,International New Year's Day,['National holiday'],Vietnam,VN
2023-01-02,Day off for International New Year's Day,['National holiday'],Vietnam,VN
2023-01-20,Tet Holiday,['National holiday'],Vietnam,VN
2023-01-21,Vietnamese New Year's Eve,['National holiday'],Vietnam,VN
2023-01-22,Vietnamese New Year,['National holiday'],Vietnam,VN
2023-01-23,Tet holiday,['National holiday'],Vietnam,VN
2023-01-24,Tet holiday,['National holiday'],Vietnam,VN
2023-01-25,Tet holiday,['National holiday'],Vietnam,VN
2023-01-26,Tet holiday,['National holiday'],Vietnam,VN
2023-02-14,Valentine's Day,['Observance'],Vietnam,VN
2023-03-21T04:24:20+07:00,March Equinox,['Season'],Vietnam,VN
2023-04-09,Easter Sunday,['Observance'],Vietnam,VN
2023-04-29,Hung Kings Festival,['National holiday'],Vietnam,VN
2023-04-30,Liberation Day/Reunification Day,['National holiday'],Vietnam,VN
2023-05-01,International Labor Day,['National holiday'],Vietnam,VN
2023-05-02,Day off for Hung Kings Festival,['National holiday'],Vietnam,VN
2023-05-03,Day off for Liberation Day/Reunification Day,['National holiday'],Vietnam,VN
2023-05-05,Vesak,['Observance'],Vietnam,VN
2023-06-21T21:57:49+07:00,June Solstice,['Season'],Vietnam,VN
2023-06-28,Vietnamese Family Day,['Observance'],Vietnam,VN
2023-09-01,Independence Day Holiday,['National holiday'],Vietnam,VN
2023-09-02,Independence Day,['National holiday'],Vietnam,VN
2023-09-03,Independence Day Holiday,['National holiday'],Vietnam,VN
2023-09-04,Independence Day observed,['National holiday'],Vietnam,VN
2023-09-23T13:50:01+07:00,September Equinox,['Season'],Vietnam,VN
2023-10-20,Vietnamese Women's Day,['Observance'],Vietnam,VN
2023-10-31,Halloween,['Observance'],Vietnam,VN
2023-12-22T10:27:21+07:00,December Solstice,['Season'],Vietnam,VN
2023-12-24,Christmas Eve,['Observance'],Vietnam,VN
2023-12-25,Christmas Day,['Observance'],Vietnam,VN
2023-12-31,International New Year's Eve,['Observance'],Vietnam,VN
