Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Wallis and Futuna,WF
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Wallis and Futuna,WF
2023-04-10,Easter Monday,['National holiday'],Wallis and Futuna,WF
2023-04-28,St. Pierre Chanel Day,['Common local holiday'],Wallis and Futuna,WF
2023-05-01,Labor Day / May Day,['National holiday'],Wallis and Futuna,WF
2023-05-08,Victory Day,['National holiday'],Wallis and Futuna,WF
2023-05-18,Ascension Day,['National holiday'],Wallis and Futuna,WF
2023-05-29,Whit Monday,['National holiday'],Wallis and Futuna,WF
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Wallis and Futuna,WF
2023-06-29,Saints Pierre and Paul Day,['Common local holiday'],Wallis and Futuna,WF
2023-07-14,Bastille Day,['National holiday'],Wallis and Futuna,WF
2023-07-29,Territory Day,['Common local holiday'],Wallis and Futuna,WF
2023-08-15,Assumption of Mary,['National holiday'],Wallis and Futuna,WF
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Wallis and Futuna,WF
2023-11-01,All Saints' Day,['National holiday'],Wallis and Futuna,WF
2023-11-11,Armistice Day,['National holiday'],Wallis and Futuna,WF
2023-12-22T15:27:21+12:00,December Solstice,['Season'],Wallis and Futuna,WF
2023-12-25,Christmas Day,['National holiday'],Wallis and Futuna,WF
