Date,Name,Type,Country Name,Country Code
2023-02-18,Isra and Mi'raj,['Observance'],Yemen,YE
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Yemen,YE
2023-03-23,Ramadan Start,['Observance'],Yemen,YE
2023-04-20,Eid al-Fitr Eve,['National holiday'],Yemen,YE
2023-04-21,Eid al-Fitr,['National holiday'],Yemen,YE
2023-04-22,Eid al-Fitr holiday,['National holiday'],Yemen,YE
2023-04-23,Eid al-Fitr holiday,['National holiday'],Yemen,YE
2023-05-01,May Day,['National holiday'],Yemen,YE
2023-05-22,Unity Day,['National holiday'],Yemen,YE
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Yemen,YE
2023-06-27,Eid al-Adha Eve,['National holiday'],Yemen,YE
2023-06-28,Eid al-Adha,['National holiday'],Yemen,YE
2023-06-29,Eid al-Adha holiday,['National holiday'],Yemen,YE
2023-06-30,Eid al-Adha holiday,['National holiday'],Yemen,YE
2023-07-01,Eid al-Adha holiday,['National holiday'],Yemen,YE
2023-07-07,July 7th Anniversary,['Observance'],Yemen,YE
2023-07-19,Muharram,['National holiday'],Yemen,YE
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Yemen,YE
2023-09-26,Revolution Day,['National holiday'],Yemen,YE
2023-09-27,The Prophet's Birthday,['Observance'],Yemen,YE
2023-10-14,Liberation Day,['National holiday'],Yemen,YE
2023-11-30,Independence Day,['National holiday'],Yemen,YE
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Yemen,YE
