Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Zambia,ZM
2023-01-02,Day off for New Year,['National holiday'],Zambia,ZM
2023-03-08,International Women's Day,['National holiday'],Zambia,ZM
2023-03-12,Youth Day,['National holiday'],Zambia,ZM
2023-03-13,Day off for Youth Day,['National holiday'],Zambia,ZM
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Zambia,ZM
2023-04-07,Good Friday,['National holiday'],Zambia,ZM
2023-04-08,Holy Saturday,['National holiday'],Zambia,ZM
2023-04-09,Easter Sunday,['Observance'],Zambia,ZM
2023-04-10,Easter Monday,['National holiday'],Zambia,ZM
2023-04-28,Kenneth Kaunda Day,['National holiday'],Zambia,ZM
2023-05-01,Labour Day,['National holiday'],Zambia,ZM
2023-05-14,Mother's Day,['Observance'],Zambia,ZM
2023-05-25,Africa Freedom Day,['National holiday'],Zambia,ZM
2023-06-18,Father's Day,['Observance'],Zambia,ZM
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Zambia,ZM
2023-07-03,Heroes' Day,['National holiday'],Zambia,ZM
2023-07-04,Unity Day,['National holiday'],Zambia,ZM
2023-08-07,Farmers' Day,['National holiday'],Zambia,ZM
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Zambia,ZM
2023-10-18,Prayer Day,['National holiday'],Zambia,ZM
2023-10-24,Independence Day,['National holiday'],Zambia,ZM
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Zambia,ZM
2023-12-25,Christmas Day,['National holiday'],Zambia,ZM
