Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Zimbabwe,ZW
2023-01-02,New Year observed,['National holiday'],Zimbabwe,ZW
2023-02-21,Robert Gabriel Mugabe National Youth Day,['National holiday'],Zimbabwe,ZW
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Zimbabwe,ZW
2023-04-07,Good Friday,['National holiday'],Zimbabwe,ZW
2023-04-08,Holy Saturday,['National holiday'],Zimbabwe,ZW
2023-04-09,Easter Sunday,['Common local holiday'],Zimbabwe,ZW
2023-04-10,Easter Monday,['National holiday'],Zimbabwe,ZW
2023-04-18,Independence Day,['National holiday'],Zimbabwe,ZW
2023-05-01,Workers' Day,['National holiday'],Zimbabwe,ZW
2023-05-14,Mother's Day,['Observance'],Zimbabwe,ZW
2023-05-25,Africa Day,['National holiday'],Zimbabwe,ZW
2023-06-18,Father's Day,['Observance'],Zimbabwe,ZW
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Zimbabwe,ZW
2023-08-14,Heroes' Day,['National holiday'],Zimbabwe,ZW
2023-08-15,Defence Forces Day,['National holiday'],Zimbabwe,ZW
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Zimbabwe,ZW
2023-12-22,Unity Day,['National holiday'],Zimbabwe,ZW
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Zimbabwe,ZW
2023-12-25,Christmas Day,['National holiday'],Zimbabwe,ZW
2023-12-26,Boxing Day,['National holiday'],Zimbabwe,ZW
