Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],eSwatini,SZ
2023-01-02,Day off for New Year,['National holiday'],eSwatini,SZ
2023-01-10,Incwala Day,['National holiday'],eSwatini,SZ
2023-03-20T23:24:20+02:00,March Equinox,['Season'],eSwatini,SZ
2023-04-07,Good Friday,['National holiday'],eSwatini,SZ
2023-04-10,Easter Monday,['National holiday'],eSwatini,SZ
2023-04-19,Birthday of King Mswati III,['National holiday'],eSwatini,SZ
2023-04-25,National Flag Day,['National holiday'],eSwatini,SZ
2023-05-01,May Day,['National holiday'],eSwatini,SZ
2023-05-18,Ascension Day,['National holiday'],eSwatini,SZ
2023-06-21T16:57:49+02:00,June Solstice,['Season'],eSwatini,SZ
2023-07-22,Birthday of the late King Sobhuza,['National holiday'],eSwatini,SZ
2023-07-24,Day off for Birthday of the late King Sobhuza,['National holiday'],eSwatini,SZ
2023-09-04,Umhlanga Reed Dance,['National holiday'],eSwatini,SZ
2023-09-06,Somhlolo Day (Independence Day),['National holiday'],eSwatini,SZ
2023-09-23T08:50:01+02:00,September Equinox,['Season'],eSwatini,SZ
2023-12-22T05:27:21+02:00,December Solstice,['Season'],eSwatini,SZ
2023-12-25,Christmas Day,['National holiday'],eSwatini,SZ
2023-12-26,Boxing Day,['National holiday'],eSwatini,SZ
2023-12-28,Incwala Day,['National holiday'],eSwatini,SZ
